,Team,Prize,NumTournaments,Year
13,Pantech,"$54,502.42",7 Tournaments,2005
14,Begrip Gaming,"$53,000.00",2 Tournaments,2005
15,Team NoA,"$52,000.00",2 Tournaments,2005
16,Team Catch-Gamer,"$51,574.83",8 Tournaments,2005
17,Virtus.pro,"$50,779.53",14 Tournaments,2005
18,Ninjas in Pyjamas,"$42,644.79",7 Tournaments,2005
19,mortal Teamwork,"$42,041.78",19 Tournaments,2005
20,Hanbit Stars,"$39,160.00",4 Tournaments,2005
21,Lunatic-hai,"$33,240.42",4 Tournaments,2005
22,Str8 Rippin,"$31,600.00",20 Tournaments,2005
23,Project_kr,"$30,000.00",1 Tournament,2005
24,k23,"$25,867.28",2 Tournaments,2005
25,Ocrana,"$25,519.74",4 Tournaments,2005
26,Pentagram G-Shock,"$25,205.69",3 Tournaments,2005
27,MIBR,"$20,572.83",3 Tournaments,2005
28,team9,"$20,094.47",7 Tournaments,2005
29,CheckSix Gaming,"$17,700.00",7 Tournaments,2005
30,Evil Geniuses,"$15,400.00",3 Tournaments,2005
31,Meet Your Makers,"$13,275.65",19 Tournaments,2005
32,goodgame,"$12,996.41",4 Tournaments,2005
33,JaX Money Crew,"$12,900.00",2 Tournaments,2005
34,Shoot To Kill,"$11,500.00",4 Tournaments,2005
35,Samsung,"$10,840.00",4 Tournaments,2005
36,a-Losers,"$9,578.47",4 Tournaments,2005
37,Team Alternate,"$9,224.16",3 Tournaments,2005
38,Astralis (Finnish),"$9,087.20",4 Tournaments,2005
39,German National Team,"$7,690.63",2 Tournaments,2005
40,The Titans,"$7,367.50",2 Tournaments,2005
41,Clan 519,"$5,650.00",2 Tournaments,2005
42,DefuseKids,"$5,000.00",1 Tournament,2005
43,Swedish National Team,"$4,922.00",1 Tournament,2005
44,Bulgarian National Team,"$4,306.75",1 Tournament,2005
45,French National Team,"$4,306.75",2 Tournaments,2005
46,M19,"$4,000.00",1 Tournament,2005
47,STX SouL,"$3,950.63",2 Tournaments,2005
48,EYEBALLERS,"$3,621.29",1 Tournament,2005
49,against All authority,"$2,891.68",3 Tournaments,2005
50,Carbon,"$2,689.75",5 Tournaments,2005
51,Austrian National Team,"$2,461.00",1 Tournament,2005
52,n!faculty,"$2,293.71",3 Tournaments,2005
53,Serious Gaming,"$2,000.00",1 Tournament,2005
54,x6tence,"$2,000.00",1 Tournament,2005
55,Danish National Team,$922.88,1 Tournament,2005
56,WeRRa,$500.00,1 Tournament,2005
57,Destination-Skyline,$395.92,1 Tournament,2005
58,forZe,$300.00,1 Tournament,2005
59,starComa,$236.46,1 Tournament,2005
60,Broken Tier,$0.00,1 Tournament,2005
61,Empire Arcadia,$0.00,1 Tournament,2005
62,StarTale,$0.00,1 Tournament,2005
0,Carbon,"$232,568.00",23 Tournaments,2006
1,SK Gaming,"$224,643.63",44 Tournaments,2006
2,Fnatic,"$203,769.18",29 Tournaments,2006
3,compLexity Gaming,"$171,325.00",11 Tournaments,2006
4,T1,"$170,455.41",16 Tournaments,2006
5,Team 3D,"$154,875.00",18 Tournaments,2006
6,4Kings,"$142,946.93",23 Tournaments,2006
7,KT Rolster,"$140,373.58",14 Tournaments,2006
8,Team Alternate,"$139,401.44",11 Tournaments,2006
9,mousesports,"$139,071.56",29 Tournaments,2006
10,wisdom Nerve victory,"$135,169.64",18 Tournaments,2006
11,Final Boss,"$134,250.00",12 Tournaments,2006
12,CJ Entus,"$118,036.50",10 Tournaments,2006
13,Ninjas in Pyjamas,"$115,209.91",9 Tournaments,2006
14,Meet Your Makers,"$109,638.15",22 Tournaments,2006
15,Str8 Rippin,"$104,075.00",15 Tournaments,2006
16,World Elite,"$94,036.82",22 Tournaments,2006
17,Pentagram G-Shock,"$93,787.29",5 Tournaments,2006
18,Virtus.pro,"$80,873.04",14 Tournaments,2006
19,Pantech,"$78,247.03",10 Tournaments,2006
20,MIBR,"$71,248.57",7 Tournaments,2006
21,OnGameNet SPARKYZ,"$55,614.22",4 Tournaments,2006
22,Samsung,"$48,820.68",9 Tournaments,2006
23,against All authority,"$35,658.44",6 Tournaments,2006
24,Team NoA,"$32,827.82",5 Tournaments,2006
25,hoorai,"$28,769.49",4 Tournaments,2006
26,MBCGame HERO,"$27,345.98",8 Tournaments,2006
27,Swedish National Team,"$26,780.25",2 Tournaments,2006
28,Hwaseung OZ,"$24,947.33",3 Tournaments,2006
29,mortal Teamwork,"$24,205.60",9 Tournaments,2006
30,a-Losers,"$23,037.38",6 Tournaments,2006
31,Spirit of Amiga,"$21,125.90",4 Tournaments,2006
32,Serious Gaming,"$17,481.75",6 Tournaments,2006
33,Team Dignitas,"$16,736.11",7 Tournaments,2006
34,Pirates of Space,"$16,497.31",1 Tournament,2006
35,JaX Money Crew,"$15,550.00",7 Tournaments,2006
36,x6tence,"$14,376.25",2 Tournaments,2006
37,Clan 519,"$13,000.00",4 Tournaments,2006
38,CheckSix Gaming,"$11,375.00",3 Tournaments,2006
39,German National Team,"$10,839.62",3 Tournaments,2006
40,Lunatic-hai,"$10,500.00",2 Tournaments,2006
41,Greatest Ones,"$10,154.40",1 Tournament,2006
42,Clan Kapitol,"$9,642.26",3 Tournaments,2006
43,Norweigan National Team,"$9,564.37",1 Tournament,2006
44,starComa,"$8,631.83",2 Tournaments,2006
45,Chinese National Team,"$8,000.00",2 Tournaments,2006
46,Team Acer,"$8,000.00",1 Tournament,2006
47,Team Catch-Gamer,"$7,688.78",2 Tournaments,2006
48,goodgame,"$7,552.78",3 Tournaments,2006
49,Polish National Team,"$7,013.87",2 Tournaments,2006
50,Empire Arcadia,"$7,000.00",4 Tournaments,2006
51,Korean National Team,"$7,000.00",2 Tournaments,2006
52,emuLate!,"$6,429.53",1 Tournament,2006
53,Begrip Gaming,"$6,000.00",1 Tournament,2006
54,Hanbit Stars,"$5,023.38",3 Tournaments,2006
55,Project_kr,"$5,000.00",1 Tournament,2006
56,Evil Geniuses,"$4,975.00",5 Tournaments,2006
57,STX SouL,"$4,739.02",3 Tournaments,2006
58,Bulgarian National Team,"$4,463.37",1 Tournament,2006
59,n!faculty,"$3,556.58",3 Tournaments,2006
60,69°N-28°E,"$3,000.00",1 Tournament,2006
61,Reason Gaming,"$2,959.16",2 Tournaments,2006
62,Hungarian National Team,"$2,550.50",1 Tournament,2006
63,eSuba,"$2,085.00",1 Tournament,2006
64,k23,"$1,841.82",2 Tournaments,2006
65,French National Team,"$1,275.25",1 Tournament,2006
66,Russian National Team,"$1,275.25",1 Tournament,2006
67,x3o,"$1,250.00",1 Tournament,2006
68,Templars of Twilight,$800.75,2 Tournaments,2006
69,Broken Tier,$500.00,1 Tournament,2006
70,Praetoriani,$350.00,1 Tournament,2006
0,Chicago Chimera,"$547,000.00",7 Tournaments,2007
1,SK Gaming,"$259,885.87",43 Tournaments,2007
2,Final Boss,"$254,891.00",12 Tournaments,2007
3,Meet Your Makers,"$240,088.98",35 Tournaments,2007
4,CJ Entus,"$203,212.89",14 Tournaments,2007
5,Samsung,"$180,875.37",9 Tournaments,2007
6,MBCGame HERO,"$172,776.58",9 Tournaments,2007
7,Fnatic,"$169,930.99",30 Tournaments,2007
8,4Kings,"$166,963.14",30 Tournaments,2007
9,Carolina Core,"$150,500.00",5 Tournaments,2007
10,Pentagram G-Shock,"$129,437.25",11 Tournaments,2007
11,World Elite,"$126,192.07",27 Tournaments,2007
12,Carbon,"$126,187.15",16 Tournaments,2007
13,Str8 Rippin,"$106,327.85",12 Tournaments,2007
14,mousesports,"$96,926.08",35 Tournaments,2007
15,Team NoA,"$96,723.69",12 Tournaments,2007
16,Virtus.pro,"$87,251.41",16 Tournaments,2007
17,wisdom Nerve victory,"$84,509.32",15 Tournaments,2007
18,Team Alternate,"$76,708.21",13 Tournaments,2007
19,Hwaseung OZ,"$76,146.54",5 Tournaments,2007
20,emuLate!,"$74,821.22",6 Tournaments,2007
21,Birmingham Salvo,"$70,366.71",5 Tournaments,2007
22,Berlin Allianz,"$70,000.00",4 Tournaments,2007
23,compLexity Gaming,"$65,500.00",7 Tournaments,2007
24,MIBR,"$63,512.25",7 Tournaments,2007
25,WeMade FOX,"$59,291.76",2 Tournaments,2007
26,T1,"$53,924.02",13 Tournaments,2007
27,Hanbit Stars,"$53,361.04",6 Tournaments,2007
28,STX SouL,"$51,320.74",7 Tournaments,2007
29,Pantech,"$50,711.19",4 Tournaments,2007
30,Team Dignitas,"$49,253.49",11 Tournaments,2007
31,69°N-28°E,"$45,449.74",5 Tournaments,2007
32,London Mint,"$38,801.14",5 Tournaments,2007
33,mortal Teamwork,"$38,571.69",18 Tournaments,2007
34,Singapore Sword,"$35,000.00",5 Tournaments,2007
35,H2K,"$34,542.53",2 Tournaments,2007
36,KT Rolster,"$34,155.44",7 Tournaments,2007
37,Mexico City Furia,"$30,000.00",4 Tournaments,2007
38,Stockholm Magnetik,"$30,000.00",4 Tournaments,2007
39,Evil Geniuses,"$27,750.00",6 Tournaments,2007
40,Serious Gaming,"$26,104.63",10 Tournaments,2007
41,OnGameNet SPARKYZ,"$22,121.64",7 Tournaments,2007
42,Polish National Team,"$20,514.08",1 Tournament,2007
43,eSTRO,"$20,239.52",7 Tournaments,2007
44,German National Team,"$18,462.67",3 Tournaments,2007
45,Begrip Gaming,"$17,028.52",6 Tournaments,2007
46,The Last Resistance,"$15,767.53",4 Tournaments,2007
47,Ninjas in Pyjamas,"$15,529.73",3 Tournaments,2007
48,Rio Sinistro,"$15,000.00",4 Tournaments,2007
49,Seoul Jinhwa,"$15,000.00",4 Tournaments,2007
50,Sydney Underground,"$15,000.00",4 Tournaments,2007
51,n!faculty,"$10,808.05",5 Tournaments,2007
52,CheckSix Gaming,"$9,896.62",3 Tournaments,2007
53,Professional Skills,"$8,400.00",4 Tournaments,2007
54,Finnish National Team,"$8,205.63",1 Tournament,2007
55,San Francisco Optx,"$8,000.00",2 Tournaments,2007
56,Reason Gaming,"$7,825.30",5 Tournaments,2007
57,x3o,"$7,500.00",1 Tournament,2007
58,a-Losers,"$7,417.82",4 Tournaments,2007
59,Danish National Team,"$6,838.03",1 Tournament,2007
60,JaX Money Crew,"$6,500.00",1 Tournament,2007
61,Team 3D,"$6,500.00",4 Tournaments,2007
62,Gravitas Gaming,"$6,214.90",4 Tournaments,2007
63,forZe,"$5,500.00",2 Tournaments,2007
64,k23,"$5,071.00",3 Tournaments,2007
65,Broken Tier,"$5,000.00",1 Tournament,2007
66,Team Roccat,"$5,000.00",1 Tournament,2007
67,hoorai,"$4,981.19",3 Tournaments,2007
68,Swedish National Team,"$4,786.62",1 Tournament,2007
69,Spirit of Amiga,"$4,739.45",3 Tournaments,2007
70,against All authority,"$3,616.77",2 Tournaments,2007
71,Norweigan National Team,"$3,419.01",1 Tournament,2007
72,Templars of Twilight,"$3,018.52",2 Tournaments,2007
73,Empire Arcadia,"$3,000.00",2 Tournaments,2007
74,starComa,"$2,999.05",2 Tournaments,2007
75,Ukranian National Team,"$2,735.21",1 Tournament,2007
76,Air Force ACE,"$2,701.05",2 Tournaments,2007
77,Project_kr,"$2,114.50",1 Tournament,2007
78,eSuba,"$1,988.68",2 Tournaments,2007
79,Dallas Venom,"$1,500.00",1 Tournament,2007
80,Praetoriani,"$1,376.96",1 Tournament,2007
81,Bulgarian National Team,"$1,367.61",1 Tournament,2007
82,Hungarian National Team,"$1,367.61",1 Tournament,2007
83,Ocrana,"$1,316.66",1 Tournament,2007
84,Team Zenith,"$1,095.53",1 Tournament,2007
85,goodgame,"$1,014.02",1 Tournament,2007
86,Crack Clan,"$1,008.50",1 Tournament,2007
87,x6tence,$730.00,1 Tournament,2007
88,Spanish National Team,$683.80,1 Tournament,2007
89,WICKED eSports,$220.00,1 Tournament,2007
90,WeRRa,$200.00,1 Tournament,2007
0,Birmingham Salvo,"$553,099.02",7 Tournaments,2008
1,SK Gaming,"$346,811.92",52 Tournaments,2008
2,Hwaseung OZ,"$343,508.93",11 Tournaments,2008
3,Meet Your Makers,"$277,150.63",50 Tournaments,2008
4,Str8 Rippin,"$252,000.00",7 Tournaments,2008
5,mortal Teamwork,"$227,242.20",39 Tournaments,2008
6,mousesports,"$217,214.24",31 Tournaments,2008
7,Fnatic,"$183,299.43",25 Tournaments,2008
8,San Francisco Optx,"$158,500.00",6 Tournaments,2008
9,Samsung,"$133,380.88",16 Tournaments,2008
10,T1,"$117,392.43",10 Tournaments,2008
11,eSTRO,"$110,641.38",13 Tournaments,2008
12,KT Rolster,"$108,860.04",11 Tournaments,2008
13,Nihilum Gaming,"$108,000.00",5 Tournaments,2008
14,Team Dignitas,"$91,608.67",9 Tournaments,2008
15,World Elite,"$88,570.90",16 Tournaments,2008
16,Carolina Core,"$73,500.00",5 Tournaments,2008
17,Berlin Allianz,"$70,000.00",4 Tournaments,2008
18,Final Boss,"$70,000.00",6 Tournaments,2008
19,STX SouL,"$68,590.30",9 Tournaments,2008
20,Virtus.pro,"$66,460.04",16 Tournaments,2008
21,Evil Geniuses,"$65,650.01",21 Tournaments,2008
22,Dallas Venom,"$65,000.00",7 Tournaments,2008
23,MIBR,"$63,556.42",6 Tournaments,2008
24,CJ Entus,"$60,748.79",12 Tournaments,2008
25,Team Alternate,"$57,671.54",12 Tournaments,2008
26,Carbon,"$55,091.50",9 Tournaments,2008
27,wisdom Nerve victory,"$48,828.01",10 Tournaments,2008
28,WeMade FOX,"$44,197.69",9 Tournaments,2008
29,Reason Gaming,"$43,556.75",12 Tournaments,2008
30,n!faculty,"$42,176.68",7 Tournaments,2008
31,x6tence,"$36,389.00",5 Tournaments,2008
32,Serious Gaming,"$34,019.19",9 Tournaments,2008
33,Team Roccat,"$33,631.96",6 Tournaments,2008
34,emuLate!,"$32,630.51",9 Tournaments,2008
35,x3o,"$31,600.80",5 Tournaments,2008
36,Gravitas Gaming,"$30,296.93",13 Tournaments,2008
37,Mexico City Furia,"$30,000.00",4 Tournaments,2008
38,Sydney Underground,"$30,000.00",4 Tournaments,2008
39,Wuhan Dragon,"$30,000.00",4 Tournaments,2008
40,OnGameNet SPARKYZ,"$24,627.44",8 Tournaments,2008
41,LowLandLions,"$24,467.96",3 Tournaments,2008
42,Swedish National Team,"$24,377.09",2 Tournaments,2008
43,4Kings,"$24,039.72",11 Tournaments,2008
44,MBCGame HERO,"$23,656.68",9 Tournaments,2008
45,German National Team,"$22,161.00",4 Tournaments,2008
46,hoorai,"$14,499.77",7 Tournaments,2008
47,Spirit of Amiga,"$14,038.13",7 Tournaments,2008
48,Team Acer,"$13,591.00",3 Tournaments,2008
49,Team Zenith,"$13,000.00",1 Tournament,2008
50,Team VeryGames,"$12,642.99",4 Tournaments,2008
51,eSuba,"$11,277.56",5 Tournaments,2008
52,compLexity Gaming,"$11,000.00",3 Tournaments,2008
53,EHOME,"$9,890.11",1 Tournament,2008
54,Lunatic-hai,"$9,000.00",2 Tournaments,2008
55,London Mint,"$8,285.56",3 Tournaments,2008
56,Czech National Team,"$7,387.00",1 Tournament,2008
57,H2K,"$7,175.33",2 Tournaments,2008
58,against All authority,"$6,901.37",4 Tournaments,2008
59,Danish National Team,"$6,648.30",2 Tournaments,2008
60,TCM Gaming,"$6,566.97",3 Tournaments,2008
61,Polish National Team,"$5,909.60",1 Tournament,2008
62,Hanbit Stars,"$5,655.26",3 Tournaments,2008
63,Epsilon eSports,"$5,034.56",2 Tournaments,2008
64,Team gamed!de,"$3,922.37",2 Tournaments,2008
65,Finnish National Team,"$3,693.50",1 Tournament,2008
66,French National Team,"$3,693.50",1 Tournament,2008
67,Woongjin Stars,"$3,676.22",2 Tournaments,2008
68,Team 3D,"$3,500.00",1 Tournament,2008
69,HellRaisers,"$3,001.62",1 Tournament,2008
70,Clan 519,"$3,000.00",1 Tournament,2008
71,Spanish National Team,"$2,954.80",1 Tournament,2008
72,a-Losers,"$2,807.79",2 Tournaments,2008
73,Team Infused,"$2,323.04",3 Tournaments,2008
74,Slovakian National Team,"$2,216.10",1 Tournament,2008
75,Empire Arcadia,"$2,170.00",5 Tournaments,2008
76,Millenium,"$2,088.53",1 Tournament,2008
77,forZe,"$1,958.95",3 Tournaments,2008
78,Begrip Gaming,"$1,858.59",2 Tournaments,2008
79,Chinese National Team,"$1,757.80",1 Tournament,2008
80,Project EVERSIO,"$1,585.29",1 Tournament,2008
81,DTS Gaming,"$1,540.96",3 Tournaments,2008
82,Romanian National Team,"$1,477.40",1 Tournament,2008
83,Hite SPARKYZ,"$1,382.99",1 Tournament,2008
84,TyLoo,"$1,376.94",1 Tournament,2008
85,WICKED eSports,"$1,128.00",2 Tournaments,2008
86,I Will Kill You Gaming,$840.29,1 Tournament,2008
87,Chicago Chimera,$750.00,1 Tournament,2008
88,Portugese National Team,$738.70,1 Tournament,2008
89,Pentagram G-Shock,$500.00,1 Tournament,2008
90,Broken Tier,$160.00,1 Tournament,2008
91,starComa,$150.00,1 Tournament,2008
92,Temp.no,$127.46,1 Tournament,2008
93,Templars of Twilight,$100.00,1 Tournament,2008
94,Air Force ACE,$0.00,1 Tournament,2008
0,SK Gaming,"$256,656.10",45 Tournaments,2009
1,Fnatic,"$210,556.37",22 Tournaments,2009
2,Evil Geniuses,"$134,139.35",28 Tournaments,2009
3,mousesports,"$133,746.33",31 Tournaments,2009
4,CJ Entus,"$126,663.32",18 Tournaments,2009
5,mortal Teamwork,"$123,633.78",24 Tournaments,2009
6,KT Rolster,"$107,907.94",8 Tournaments,2009
7,Hwaseung OZ,"$92,535.30",10 Tournaments,2009
8,WeMade FOX,"$83,558.74",24 Tournaments,2009
9,World Elite,"$82,271.53",15 Tournaments,2009
10,T1,"$79,869.87",10 Tournaments,2009
11,STX SouL,"$76,913.51",9 Tournaments,2009
12,Meet Your Makers,"$64,041.46",16 Tournaments,2009
13,Samsung,"$50,005.20",8 Tournaments,2009
14,Team Alternate,"$48,784.34",11 Tournaments,2009
15,Str8 Rippin,"$43,200.00",4 Tournaments,2009
16,AGAiN,"$42,000.00",3 Tournaments,2009
17,wisdom Nerve victory,"$41,781.75",6 Tournaments,2009
18,x6tence,"$38,849.20",6 Tournaments,2009
19,TyLoo,"$36,822.41",7 Tournaments,2009
20,Hite SPARKYZ,"$32,566.72",6 Tournaments,2009
21,compLexity Gaming,"$31,986.30",13 Tournaments,2009
22,Team VeryGames,"$31,504.13",14 Tournaments,2009
23,Woongjin Stars,"$31,293.03",7 Tournaments,2009
24,Virtus.pro,"$29,758.33",10 Tournaments,2009
25,k23,"$29,396.45",11 Tournaments,2009
26,Reason Gaming,"$25,469.90",14 Tournaments,2009
27,Carbon,"$23,757.63",9 Tournaments,2009
28,WICKED eSports,"$23,657.55",4 Tournaments,2009
29,Team Dignitas,"$23,330.03",13 Tournaments,2009
30,Empire Arcadia,"$20,425.75",50 Tournaments,2009
31,Millenium,"$18,185.21",9 Tournaments,2009
32,n!faculty,"$16,421.86",7 Tournaments,2009
33,hoorai,"$16,217.16",5 Tournaments,2009
34,Final Boss,"$16,000.00",3 Tournaments,2009
35,Giants Gaming,"$14,544.52",5 Tournaments,2009
36,Serious Gaming,"$14,511.13",12 Tournaments,2009
37,x3o,"$13,750.00",7 Tournaments,2009
38,against All authority,"$12,778.00",4 Tournaments,2009
39,Lemondogs,"$10,974.14",2 Tournaments,2009
40,EHOME,"$10,420.38",4 Tournaments,2009
41,Vitriolic,"$10,242.91",4 Tournaments,2009
42,Team Acer,"$8,673.67",6 Tournaments,2009
43,German National Team,"$8,604.75",3 Tournaments,2009
44,TCM Gaming,"$8,538.97",6 Tournaments,2009
45,DTS Gaming,"$8,362.82",6 Tournaments,2009
46,CheckSix Gaming,"$7,500.00",1 Tournament,2009
47,Nihilum Gaming,"$7,500.00",2 Tournaments,2009
48,forZe,"$7,175.18",5 Tournaments,2009
49,H2K,"$6,867.01",2 Tournaments,2009
50,Crack Clan,"$6,478.42",2 Tournaments,2009
51,Swedish National Team,"$5,736.50",1 Tournament,2009
52,eSTRO,"$5,275.53",5 Tournaments,2009
53,Gravitas Gaming,"$5,250.00",4 Tournaments,2009
54,ESC Gaming,"$5,006.13",2 Tournaments,2009
55,RoX,"$4,694.64",2 Tournaments,2009
56,Air Force ACE,"$4,654.57",2 Tournaments,2009
57,emuLate!,"$4,348.94",3 Tournaments,2009
58,Spirit of Amiga,"$4,272.76",5 Tournaments,2009
59,Team Envy,"$4,000.00",1 Tournament,2009
60,OnGameNet SPARKYZ,"$3,924.79",1 Tournament,2009
61,Project EVERSIO,"$3,179.76",3 Tournaments,2009
62,MIBR,"$3,000.00",2 Tournaments,2009
63,French National Team,"$2,868.26",2 Tournaments,2009
64,HellRaisers,"$2,563.91",1 Tournament,2009
65,Polish National Team,"$2,151.19",1 Tournament,2009
66,a-Losers,"$1,960.57",1 Tournament,2009
67,Dutch National Team,"$1,434.13",1 Tournament,2009
68,Ukranian National Team,"$1,434.13",1 Tournament,2009
69,MBCGame HERO,"$1,318.44",4 Tournaments,2009
70,Enemy,$972.00,2 Tournaments,2009
